Name of press / initiative,Introduction,Year established,Location,Region,Geocoordinates,Link
A3BC,"A3BC stands for Anti-War, Anti-Nuclear and Arts of Block-print Collective. Oppression of world peace and freedom is now increasing by enforcement/capitalism/military forces. Holding a “knife” against the world of darkness, we are carving for peace and freedom.",2014,"Tokyo, Japan",East Asia,"35.6764, 139.6500",https://a3bcollective.org/
AABF,"The African Art Book Fair is an independent anti-fair dedicated to innovative editorial practices in art, photography, design, film, and activism. It supports unique and committed publications, offering a panorama of contemporary publishing in Africa and its diaspora through exhibitions, discussions, and professional encounters. AABF is a radical editorial platform.",,"Dakar, Senegal",Africa,"14.7167, -17.4677",https://africanartbookfair.com/
AC World,"AC WORLD is an independent publisher of artists books and multiples based in Halifax (K’jpuktuk) Nova Scotia operated by Nick Chapman and Soren Wilde. The mission of this project is to produce and publish works by artists from the Atlantic Canadian region and beyond, to bridge the gap between our region and the rest of the independent publishing world. Through our work we wish to build the necessary infrastructure for our community to develop and create their own artist books, and build a strong and diverse self-publishing ecosystem. Our ultimate goal for this project is to create a brick and mortar community space where people can access the necessary tools and support networks to create their own works and host artist talks and other events. We strongly believe in the power of artist books as a means of cheaply and effectively showcasing an artists work as a handheld gallery space that can transcend the traditional distribution models- especially in places where those models do not operate to begin with. This project began in 2021 as Special Characters which was created by Chapman and Wilde, as well as Andrew Hill. As a trio we designed, produced, and published 15 books by artists from Atlantic Canada and beyond.",2021,"Halifax, Nova Scotia, Canada",North America,"44.8857, -63.1005",acworld.hotglue.me
Aftertomorrow,"We are two artists based in Russia and Germany. Evgenia Bonvert runs her independent silkscreen studio »aftertomorrow» in Moscow, while Andrey Kasay lives and works in Berlin. For over 10 years, we have been creating collaborative publishing projects, while also developing our individual practices. »aftertomorrow» collaborates with Russian artists, organizing exhibitions, print and zine fairs, as well as a diverse range of publishing projects. Andrey has exhibited his work globally over the years and has participated in renowned European and American animation festivals.",,"Moscow, Russia",Europe,"55.7569, 37.6151",https://aftertomorrow.moscow
Almas Art Foundation,Almas Art Foundation is committed to celebrating the invaluable contributions made by African and African diaspora artists to modern and contemporary visual arts.  ,,"London, UK",Europe,"51.5072, -0.1276",https://www.almasartfoundation.org/
Amurhüü & Taukesz,"This duo hails from Hohhot, Inner Mongolia Autonomous Region. Their Mongolian-derived names, Amurhuü and Taukesz, mean ""gentle child"" and ""peacock,"" respectively. They aim to create printed materials that reinterpret the image of Mongolia in a modern way and to disseminate it to a wide audience. They hope to preserve and pass on the traditional vertical Mongolian script and the aesthetics of the Mongolian people through their own efforts.",,"Hohhot, Inner Mongolia Autonomous Region, China",East Asia,"40.8415, 111.7520",https://www.instagram.com/amurhuu_taukesz/
The Angry Bat,"The Angry Bat is a small independent publishing house from Slovenia focused on contemporary photography and the photobook as an artistic medium. We collaborate closely with photographers to create thoughtfully designed books that emphasize storytelling, experimentation, and materiality. Our titles are internationally recognized and often produced in small, collectible editions.",,"Maribor, Slovenia",Europe,"46.5547, 15.6459",https://theangrybat.com/
Antenna Press,"Antenna Press is the publishing arm of Antenna dedicated to publishing books from cultural contributors who produce projects at the intersection of gender and identity, the environment, equity, renewable resources, abolition, restorative justice, and the histories of the Gulf South. Antenna Press is one of the few publishers in the Southeast with in-house print production. Through Paper Machine, our printshop and bookbindery, located in the Lower Ninth Ward of New Orleans, Antenna allows artists and writers to experience the production of a book: layout, printing, and binding.  ",2005,"New Orleans, US",North America,"29.9509, -90.0758",https://www.antenna.works/paper-machine/publications/
Anthology Editions,"Anthology Editions is an independent book publisher dedicated to uncovering and presenting new narratives via thoughtful, exceptionally designed publications in the fields of art, music, and pop cultural history. Anthology is an exploratory endeavor that manifests pop culture heritage without limitation of genre or form. Anthology elevates a practice of archival preservation through responsibly licensed material, compelling design, and definitive presentation. Anthology Recordings is the central music imprint for reissues. Anthology Recordings examines the sounds of our past lives to enlighten the present. A careful consideration in our research and repurposing ensures lost moments are made available to the world (again) complete.",,"New York, US",North America,"40.7128, -74.0060",https://anthology.net/
ARCHAEOLOGY OF WASTE,"ARCHAEOLOGY OF WASTE is a collective that works with waste as its main object of study. Through the collection and interpretation of waste we seek to create research networks linked to memory, identity, reuse and sustainability, both as individuals and as a community. Through graphic formats we make our work and reflections known in order to create a dialogue of constant collective flow.",,"Santiago, Chile",Latin America,"-33.4489, -70.6693",https://www.instagram.com/arqueologiadelabasura
Arsenal Pulp Press,"Arsenal Pulp Press is a book publisher in Vancouver, Canada with over 400 titles currently in print, which include literary fiction, nonfiction and poetry; books on social issues; gender studies; LGBTQ2S+ and BIPOC  literature; graphic novels and non-fiction; children's and young adult literature; regional history; cookbooks; alternative crafts; and books in translation. We are interested in literature that engages and challenges readers, and which asks probing questions about the world around us.",1971,"Vancouver, Canada",North America,"49.2827, 123.1207",https://arsenalpulp.com/
At Last Books,"At Last Books is a small Copenhagen, Denmark, based publisher, founded in 2012 as MTHM Books (Mads Teglers & Hans Munk) to publish Mads Teglers first book ‘Looking for Eva’. With Teglers leaving in 2016, Hans Munk has continued as At Last Books, devoting the imprint to publish a wide array of projects involving photography, art and writing in close collaboration with a varied group of artists from around the world. Focussing on new and mid-career artists, At Last Books aim to publish what no one else wants to. The b-sides, the rejected proposals, or chance, giving the artist full freedom to present their vision as they wish. At Last Books is a not-for-profit imprint, and all proceeds go on to the next publishing adventure.",2012,"Copenhagen, Denmark",Europe,"55.6761, 12.5683",https://www.atlastbooks.com/
Atelier HOKO,"Atelier HOKO (2002) is an independent creative practice that focuses on the study of the growing disengagement between people, things and space. The atelier hopes to cultivate in people, an open-ness and ability to un-know, bringing about a heightened curiosity towards all phenomena by taking a fresh look at reality. Founded by Alvin Ho and Clara Koh.",2002,Singapore,Southeast Asia,"1.3521, 103.8198",https://atelierhoko.com/
Azulejo Press,"Azulejo Press (Azulejo Arte Impressa) is an independent publishing project created in 2015 in Porto Alegre, south of Brazil. Our artists' books are created focusing on access and experimentation.",2015,"Porto Alegre, Brazil",Latin America,"-30.0368, -51.2090",https://azulejo.press/en
B&D Press,"B&D Press is a micro press based in Montreal. B&D is an art project that publishes mostly the work of Eloisa Aquino and Jenny Lin, and does occasional collaborations. B&D stands for bug and duck.",,"Montreal, Canada",North America,"45.5019, -73.5674",https://banddpress.ca/
Bad Student Press,"Bad Student is an independent Risograph Art Press that started in the Philippines and has studio locations in Rizal, Philippines and New York, USA. The studios' artistic process connects a thread between art, design, printmaking, and DIY publishing. Its practice serves as a bridge between analog and digital mediums.",,"Rizal, Philippines",Southeast Asia,"14.6037, 121.3084",https://badstudentpress.com/
BANANAFISH BOOKS,"BANANAFISH BOOKS is a Shanghai-based art book publisher and project space founded by designers Qing Zhou and Wei Guan. Over the years, BANANAFISH has advocated for independent publishing and risograph culture in China, and is also the organizer of the UNFOLD Shanghai Art Book Fair and UNFOLD Shenzhen Art Book Fair.",,"Shanghai, China",East Asia,"31.2304, 121.4737",https://bananafish-books.com/
Beijing Silvermine,"Since 2009, the French collector and artist Thomas Sauvin has salvaged discarded negatives from a recycling plant on the edge of Beijing, negatives that were destined to destruction. His Beijing Silvermine archive, one of the largest archival projects in China, now encompasses over 850000 anonymous photographs spanning the period from 1985 to 2005, thus allowing the reconstruction of a large part of the history of popular analogue photography in the country. This unceasingly evolving archive provides a visual platform for cross-cultural interactions, while impacting on our collective memory of the recent past.",2009,"Beijing, China",East Asia,"39.9042, 116.4074",https://www.beijingsilvermine.com/
Betweenia Project,"Established in Guangzhou, China, and now based in Naarm / Melbourne, betweenia is an art book & zine distributor as well as an emerging publisher, exploring approaches to working in-between in an increasingly divided world. With a unique collection focusing on diverse practices from Chinese-ethnic and Chinese-speaking communities across the Asia-Pacific, they position the divergences and convergences of the Sinophone experience as critical entry points into the entangled histories and ongoing debates within the region. Positioning Australia as a pivotal intermediary point for archiving and reconnecting, betweenia strives to explore, translate, and preserve regional practices while fostering cross-border solidarity and transnational conversations—resisting oversimplified narratives in the Western public sphere.",,"Melbourne, Australia",Oceania,"-37.8136, 144.9631",https://www.instagram.com/betweeniaproject
The bildungsLab,"The bildungsLab* started in 2017 as a critical debating space in connection with the project ""Schools of Tomorrow"" carried out by the House of World Cultures (HKW) in Berlin until June 2018. Female* academics of Color and/or academics with migration histories, institutionally located in the fields of art and education, intervene into hegemonic discourses on questions of heterogeneity, plurality, marginalization and discrimination in educational institutions. Inspired by Gayatri Chakravorty Spivak's idea of education as a ""uncoercive rearrangement of desires"" and incorporating the experiences of migration, discrimination, racism, classism, ableism and (hetero-) sexism, we imagine and discuss utopian designs of schools and pedagogical practices. How can schools be transformed into places that are not only open to everyone but also where education is desirable? What desires are to be instigated, what moments of resistance are to be articulated?",2017,"Berlin, Germany",Europe,"52.5200, 13.4050",https://www.bildungslab.net/en/
Binatang Press!,"Binatang Press! is Jakarta-based small-scale independent publisher. We represent non-mainstream collaborators and bring them to wider audience. We tell stories of what subculture is like in Indonesia, working mostly with independent creative communities around us.",,"Jakarta, Indonesia",Southeast Asia,"-6.1944, 106.8229",https://www.binatangpress.com/
Blow Up Press,"Established in 2012, BLOW UP PRESS is an independent, artist-led publishing house based in Warsaw, Poland, dedicated to photobooks and lens-based works that challenge conventions and provoke thought. Each publication is conceived as a carefully crafted object – where form, material, and sequence are inextricably tied to narrative. We collaborate with artists exploring urgent, often uncomfortable subjects, transforming complex ideas into emotionally resonant, visually striking books. When the story matters, the book becomes its truest, most powerful vessel.",2012,"Warsaw, Poland",Europe,"52.2297, 21.0122",https://blowuppress.eu/
Bored Wolves,"Bored Wolves is an independent publisher run by poet Stefan Lorenzutti and Joanna Osiewicz-Lorenzutti, based in Kraków and the Polish Highlands. We are dedicated to publishing poet’s books, artist’s books, zines, and comix (many of our books blend and overlap these categories) in carefully crafted but always affordable editions. Working with authors, artists, and graphic designers across borders and languages, mediums and disciplines, we are committed to the individuality of each title, and curious about the patterns and echoes that emerge between them. Stefan began Bored Wolves in 2010–11, in collaboration with Joanna, as a book-at-a-time imprint for publishing his poems in a way that felt true to himself. Every step of the way, his Pole Star has been the organically driven DIY ethos of the Mimeo Revolution, a limitless source of inspiration. In September 2020, Bored Wolves pivoted toward publishing other poets and artists, beginning with Sevinç Çalhanoğlu’s My Life in Curves Recently, a zine of hand-drawn marker graphs. With the publication of ten titles, 2021 was the year Bored Wolves became quantitatively not-micro. Going forward, we remain qualitatively committed to immersing ourselves in each project with the same concentration, dedication, and affection as in years past when we were publishing that one single book at a time. All Bored Wolves books are printed offset in Kraków, Poland on fibrous Arctic Munken paper. Bindings are sewn & glued to facilitate cracking of spines. While we are haptically committed to printing the best book we can without ever compromising on paper, binding, etc., a central plank of our publishing philosophy is that our books should always be affordable. And as the question often comes up, know that the wolves aren’t actually bored at all. They were kind of bored a decade ago, but not anymore, because they started making books.",2010,"Kraków, Poland",Europe,"50.0647, 19.9450",https://www.boredwolves.com/
Bucle Editorial,"Bucle is an independent publishing platform founded in 2016 in Buenos Aires by Jorge Pomar and Chebo Roitter. It produces limited-edition books by contemporary Latin American artists, showcasing an extension of the artist’s work in a unique sensory and artisanal way, exploring experimental practices and critical perspectives.",2016,"Buenos Aires, Argentina",Latin America,"-34.6037, -58.3821",https://www.bucleeditorial.com.ar/
Cahyati Press,"Cahyati Press is a publishing and printing experiment based in Bali, Indonesia. The long-distance collaboration between two friends in Bali and Brisbane started in 2022 and remains an attempt at taking the pressure off of bookmaking and selling. Cahyati Press is interested in women and LGBTQIA+ focused narratives, as these are the communities they are a part of and the stories that they would like to see more of in the Indonesian experimental publishing scene.",2022,"Bali, Indonesia ",Southeast Asia,"-8.4095, 115.1889",https://cahyati.press/
Cajón de sastre,"Cajón de sastre is a small independent publishing project based in Bogotá, Colombia. We are interested in projects linking literature, ecology and art. Our books explore local narratives, collective experimentation and visual languages. Cajón de sastre understands editing as a research process.",,"Bogotá, Colombia",Latin America,"4.7110, -74.0721",http://cajondesastre.com.co/
Canto Press,"Canto Press, by María Carolina Ceballos, is a project that focuses on the production of artists’ books and bookbinding projects. We also conserve and restore books and paper, and teach online and in person from Bogotá, Colombia. María Carolina is a Colombian book artist with emphasis in bookbinding and artists’ books. In 2021, she graduated from the MFA in Book Arts at The University of Iowa. She has also worked as a paper conservator and as an independent book artist under the name of Canto Press.",,"Bogotá, Colombia",Latin America,"4.7110, -74.0721",https://cantopress.art/
Case Publishing,"Founded in 2015, Case Publishing made its mission to expand the book into a rich and multifaceted platform for ever more art forms. Together with Japanese and international artists, Case Publishing elevates the artbook into a new medium of expression by utilizing the unique strengths of books as objects and information carriers.",2015,"Tokyo, Japan",East Asia,"35.6764, 139.6500",https://case-publishing.jp/en
Chimurenga,"Chimurenga, a pan African platform of writing, art and politics founded by Ntone Edjabe in 2002. Drawing together a myriad voices from across Africa and the diaspora, Chimurenga takes many forms operating as an innovative platform for free ideas and political reflection about Africa by Africans. Outputs include a journal of culture, art and politics of the same name (Chimurenga Magazine); a quarterly broadsheet called The Chronic; the Chimurenga Library – an ongoing invention into knowledge production and the archive that seeks to re-imagine the library; the African Cities Reader – a biennial publication of urban life, Africa-style; and the Pan African Space Station (PASS) – an online radio station and pop-up studio. The aim of these activities is not just to produce new knowledge, but rather to express the intensities of our world, to capture those forces and to take action. This has required a stretching of the boundaries, for unless we push form and content beyond what exists, then we merely reproduce the original form – the colonized form, if you will. It requires not only a new set of questions, but its own set of tools; new practices and methodologies that allow us to engage the lines of flight, of fragility, the precariousness, as well as joy, creativity and beauty that defines contemporary African life.",2002,"Cape Town, South Africa",Africa,"-33.9221, 18.4231",https://chimurengachronic.co.za/
cloud projects,"Curatorial, artistic, and publishing collective",,"Kuala Lumpur, Malaysia",Southeast Asia,"3.1319, 101.6841",https://www.instagram.com/cloudprojects/
The Corners of Their Mouth Press,"The Corners of Their Mouth Press is a two-person team who focuses on art- and research-focused zines about queerness, food, nature, and Midwestern ephemera. Elan Clement Robinson is the co-author, artist and graphic designer who creates the risograph prints, copper-plate etching, and comics for their solo and our collaborative zines. L.M. Zoller is the co-author/editor of our collaborative zines and the illustrator and collage-artist (printed on riso) for their solo work. In our latest art and culture zine, The Queer Language of Flowers Volume 2 (Nov. 2024), Elan designed the three-color risograph cover and interior botanical studies in both pen and ink and copper-plate etching. Incorporating etching into our zines is new for 2024. Our older work (2017-2023) includes risograph printing, collage, and illustration; see our website for details.",,"Seattle, US",North America,"47.6061, -122.3328",https://thecornersoftheirmouthpress.com/
Current Editions,"We research, design, and publish assorted ephemera. Based in Emeryville, California, it is a project of Jessalyn Aaland and Paul Morgan.",,"Emeryville, US",North America,"37.8395, -122.2892",https://www.currenteditions.biz/
Dirty Water Comics,"Dirty Water Comics is a boutique publishing house that specializes in literary comics that showcase a unique voice and a talent for storytelling. We publish a selective catalogue, create immersive readings, and pride ourselves on championing the work we curate.  Our press was registered as a small business in 2016 and subsequently incorporated in 2021. Paul Cohen came from a corporate background and Jamie Michaels from the world of writing. The catalogue prioritizes work grounded in history, politics, and ‘everyday’ life that enables readers to reconsider their prior perceptions. Dirty Water Comics partners comics makers with an editorial team comprised of comics academics and creators to help them realize their unique vision. These partnerships push creative boundaries while still respecting authorial vision, resulting in comics that defy expectations. Our comics have received endorsements from the President of the Academy of the Arts and Humanities for the Royal Society of Canada, The Canadian Museum of Human Rights, and been used as resources in high schools and universities around the world. We have been nominated and awarded the Joe Shuster Award for Excellence in Comics. We are based out of Winnipeg, the greatest city in the world.",2016,"Winnipeg, Canada",North America,"49.8954, -97.1385",https://www.dirtywatercomics.com/
dmp editions,"dmp editions is a practicing field that involves a multidisciplinary approach to publishing, content editing, art direction, and all things related to book-making. We work with artists, photographers, editors, and curators to develop an alternative perspective of the world portrayed through the pages of a book.",,"Taipei, Taiwan",East Asia,"25.0330, 121.5654",https://dmp-editions.com/
Dream Press,"A small independent publishing studio in Cape Town, SA. Risograph printing, book design, bookbinding & printed matter",,"Cape Town, South Africa",Africa,"-33.9221, 18.4231",https://www.instagram.com/p/DNlO7Nbsmkw/
Editions JOJO,"Editions JOJO is a publishing imprint, bookshop, library, and platform for visual culture based in Mumbai, India. Titles published under JOJO celebrate playfulness, process, and experimentation through handcrafted books. The name is derived from Flo-jo, the fastest woman in the world who broke the record in 1988.",,"Mumbai, India",South Asia,"18.9582, 72.8321",https://www.editionsjojo.com/
Eli Howey,"Eli Howey is a queer independent artist based in Tkaronto. DIY and alternative publishing has played a large role in their artistic career. During their undergrad at OCADU, they co-founded the small press distro Sever Press which operated for several years, culminating in 2015. The press focused on representing marginal content and traveled across North America to zine, alternative publishing and art book expos.",,"Toronto, Canada",North America,"43.6532, -79.3832",https://elihowey.ca/
Elsewhere,"A collection of four zines interweaving photography and architectural imagination by Baihan Wang, Ziyuang Wang, and Qiqi Liu. We set out from subways, villages, culture, memory, and visions of future human life, documenting overlooked spaces and emotions.Using imagery, rendering, and collage as our language, we navigate between reality and fiction,seeking our own “elsewhere.”From Montreal's subway tunnels to Fujian's spirit processions, from our parents' rural hometowns to unbuilt architectural dreams, each zine asks in its own way:When spaces are reexamined, what other “elsewheres” of memory can we still reach?",,"Montreal, Canada",North America,"45.5019, -73.5674",https://elsewherezines.myportfolio.com/work
ESPAC,"ESPAC is a non-profit organization that, since 2015, has been dedicated to studying, disseminating, and promoting current artistic production through multiple interpretations and approaches to its collection. The projects and mission of this institution have taken on a collaborative character over the years. The curatorial discourse has been informed by the combined interests of each team member, as well as by the influence and concerns left by past collaborators. Our current program seeks to reconsider our practices, models, and content, creating a flexible and open program, without specific support or future, that responds to themes and concerns rather than to a predetermined production chain, thus exploring possible ways to practice and contribute through research and production in the field of the visual arts.",2015,"Mexico City, Mexico",Latin America,"19.4326, -99.1332",https://espac.org.mx/
Everything Matters,"EVERYTHING MATTERS is a small publishing project that focuses on urgent words, inky prints, everything, and its mattering. We specialize in Risograph printed, hand-bound, small edition chapbooks and prints. In addition to our published works, we also offer riso and letterpress print-for-hire, print & web design, and web development services ~ hit us up to collab on your next project.",,"Portland, US",North America,"45.5152, -122.6784",https://everythingmatters.press/
Everything's Fine,"Everything's Fine is a small press based in Manila, Philippines that continues to believe in publishing texts that are creative and critical, and in making books through collaborative and compassionate practices. We see the publication of books, zines, and other printed matter as an opportunity to create an open, kind space for what we believe is a discursive process of making, one that deliberately and consciously builds relationships with all those involved, doing away with the mainstream system's ways of disengaged and alienated acts of making. We welcome ideological intersections with other makers, projects, and initiatives as opportunities to expand on our sensing of what a book can be, what reading can be about, and what kind of community can be built out of both.",,"Manila, Philippines",Southeast Asia,"14.5995, 120.9842",
EXILE Projects,EXILE Projects is a Miami-based nonprofit dedicated to producing and promoting innovative artist publications that celebrate the rich diversity of South Florida’s creative voices.,,"Miami, US",North America,"25.7617, -80.1918",https://exileprojects.com/
FA–KAE ,"FA–KAE is a collective of artists from Singapore, Korea, Malaysia, and India. Through printed matter and visual objects, we explore the shifting boundaries where objective fact meets subjective truth, and sensation echoes through memory. Taking its conceptual cue from the internet meme “Real or Fake?”, FA–KAE moves through this ambiguity—where reality and fiction collapse into one another, and imagined truths begin to form a new reality.",,Singapore,Southeast Asia,"1.3521, 103.8198",https://www.instagram.com/fa_kae/
