Publisher,Title,Content Summary,Year published,Author / editor,Geocoordinates,Region,Global South / North,Link
A3BC,An Introduction to Woodblock Prints for Action,"Written and edited by the Japanese woodblock collective A3BC. An Introduction to Woodblock Prints for Action is a concise and practical introductory handbook for action-oriented woodcut printmaking. Covering everything from step-by-step creation techniques to essential tools, this zine systematically introduces the fundamentals of woodblock printing. It also features reflections on collective creation by practitioners from different regions, alongside related woodcut artworks—offering rich content to support your journey into printmaking as a form of action.",2025,,"35.6764, 139.6500",East Asia,Global North,https://www.instagram.com/p/DKwTvYhRD2Y/?img_index=1
AABF,Waves: Radio as Collective Imagination,"Waves: Radio as Collective Imagination is the first volume of the Journal of Contemporary Audio Practices. This publication offers a deep dive into radio and audio practices, exploring their underlying infrastructures, collaborative methods, and embedded knowledge systems through a combination of written, visual, and sonic forms. The book emphasizes the role of radio and sound as powerful political tools for collective organization.",2024,,,Africa,Global South,https://africanartbookfair.com/produit/waves-radio-as-collective-imagination/
AABF,Cinema as a Transformative Tool for the Therapeutic Intellectual: Putting Postcolonial Theories in Motion,"This book explores the potential of cinema as a transformative medium. The book delves into how film can be utilized by therapeutic intellectuals to actively engage with and implement postcolonial theories, moving them from academic discourse into practical application and understanding.",2023,Jean-Pierre Bekolo,,Africa,Global South,https://africanartbookfair.com/produit/cinema-as-a-transformative-tool-for-the-therapeutic-intellectual-putting-postcolonial-theories-in-motion/
AABF,Decolonizing Art Book Fairs: Publishing Practices from the South(s),"This book poses critical questions about decolonizing art book fairs and decentralizing knowledge and privilege within global contexts. This workbook aims to redefine existing and speculative organizational frameworks for art book fairs, introducing new narratives and dismantling boundaries between the Global North and South. It specifically highlights the work of practitioners and initiatives from the African continent and its diaspora through a collection of newly commissioned texts and interviews.",2021,,,Africa,Global South,https://africanartbookfair.com/produit/decolonizing-art-book-fairs-publishing-practices-from-the-souths/
AABF,Reading Ecologies: Transforming Publishing in Africa,"This book advocates for a revolutionary approach to publishing, one deeply rooted in the political, aesthetic, and intellectual struggles of independent publishers across the African continent and its diaspora. This collaborative work brings together diverse voices to explore and champion insurgent publishing practices, reflecting the unique challenges and innovations within African publishing landscapes.",2025,,,Africa,Global South,https://africanartbookfair.com/produit/reading-ecologies-transforming-publishing-in-africa/
AABF,Politics of sound #2 music that heals bodies and stories,"The theme Politics of Sound invites us to explore the role of music as a social and political force, an often overlooked yet incredibly powerful form of listening in our culture and society. Escaping the visible, music is capable of reflecting, perceiving, and hearing the world in a more accurate way, one that is hidden from view. To celebrate 2024, the journal Afrikadaa presents in its upcoming issue, Politics of Sound #2, a captivating archaeology of sounds and musical movements as impulses, rhythms, convulsions, riots, uprisings, fluctuations, and the pulse of social, political, and cultural transformations. This issue is committed to examining the multiplicity of musical currents that have marked the struggles for freedom, civil rights, and Pan-African movements. Through fictional narratives, the aim is to build bridges between an aesthetic history and a social and political history of sound and music, revealing their profound cultural and political influence and the interdependence of these influences. Here, music emerges as both the promise and the movement toward different worlds. In a decolonial listening context, it is understood as an act of resistance and cultural reappropriation. Music and sounds then become privileged spaces—both material and immaterial, past, present, future, and emerging—where marginalized voices can be expressed, where liberation can be imagined, and alternative narratives can take shape.",2025,,,Africa,Global South,https://africanartbookfair.com/produit/politics-of-sound-2-les-musiques-qui-reparent-les-corps-et-les-recits/
AABF,"AFRIKADAA 15 – Racism, Discrimination. Where do art schools stand?","The editorial space of AFRIKADAA has always been conceived as a refuge and a space of freedom. A place to show, transmit, speak, and propose freely. We truly believed this until the moment we created this issue. Until we confronted the institution of art schools in France. A system, as many accounts note, idyllic on the outside and pathetic on the inside. The title of this special issue is  Racism, Silence, Mobilization… Where Do Art Schools Stand? We never imagined that the silence demanded by art schools would be imposed on our contributors. Despite the importance of the work undertaken by the AFRIKADAA collective in creating this refuge, which has provided support for graduation, theoretical and bibliographical assistance, and more, and also serves as an additional platform for addressing issues related to the educational spaces of art schools; We found ourselves confronted with self-censorship. This led to silence, withdrawal, anonymity, or linguistic detours. Despite everything, we tried to work with this reality and offer here an introduction to a work in progress. To be perfectly honest with you, this pervasive observation impacted the entire team. During collaborative review meetings, how many of us had to pause in the face of a succession of testimonies recounting events that impacted the very core of our being, or find ourselves wondering what the point was of producing this issue if we couldn't derive any usefulness from it for students  or for any profound changes in art education settings ? The release and the  The feasibility of this issue was questioned many times, as was its scope. After these reflective exchanges, we decided to use all of this as the basis for our research for this issue. We envisioned this editorial scope as a possible and ideal school, which could be understood in four areas. The first concerns the faculty and the development of new teaching methods; the second, more focused on care and support, welcomes the voices of the students; A third section recounts the actions undertaken by art school administrations, in response to state requests to create new professorships related to decolonial and/or postcolonial studies, gender studies, and other fields, but also driven by a desire for more inclusive educational spaces. However, given that these proposals are still far from sufficient and impactful, we propose rewriting a more inclusive history with alternative spaces such as the augmented library project, a project we would like to implement following this issue, in collaboration with female students from several, if not all, art schools in France. Finally, a last section, described as transgressive, celebrates approaches that embrace the unconventional and self-directed learning. This issue, and therefore the nascent art school presented here, is far from perfect but should be understood as the first step in a process, as stated above, which we hope will be followed by concrete actions in art schools. But what we are sure of is that this editorial proposal will be found in all art schools in France and is a seed, moreover, from which actions, reflections and debates will emerge for a better future of art schools.",2023,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-15-racisme-discrimination-ou-en-sont-les-ecoles-dart-digital/
AABF,"AFRIKADAA 12 – The between-worlds, art as a weapon of healing","In response to a world that the economy has rendered unilaterally, we witness the emergence of many artistic practices that attempt to re-establish communication and exchange between here and beyond. These practices consult tools, insights, rites of ancestral heritage, and aim at renewing and extending the therapeutic possibilities of art. During the In Between World art project at La Colonie during the Night of Ideas, December 2017; the Afrikadaa collective and its invited artists, examined the healing power of art by exploring the artistic practices inherited from diaspora tradition. Unpacking these rituals and their reinterpretations – if not re-appropriation – in contemporary creation. In the current volume, the Afrikadaa review aims to bring attention to these creative practices in order to better understand what they teach us in face of relentless mutation of our contemporary world. These artistic practices seem to invite us to decentralized. For this reason liberating our imaginative capacity to conceive a common existence. In such manner, they propose a new humanity that might prove more hospitable and attentive to the organic release of history. In and of themselves, these manifestations open an In Between World, a new artistic cartography. An initiated collective space of experimentation, bearer of relationship’s poetics, immateriality and gestures. In Between World therefore expresses itself through the event of this coming volume as a fictional space, where the review considers itself as a body, receiving fragments of exploration, hesitations and questions – like a trembling body. It is therefore a catalyzer of change, where contemporary artists lift the veil that obscures our trauma, and one after the other exorcises a dilemma via artistic works. This review’s issue will be constructed as a space of reparation, where conflicting narratives will cohabit and where divers of non institutional artistic practices will confront each other. Here, tradition and modernity rethink themselves and these attributes find a space in a time of In Between World that only initiates illumination can illuminate. The review becomes a therapeutic space of initiation, offering prospective and constructive research. Intimate knowledge of the world and beyond reconciles the colonialized space. It cares for its broken narratives, its invisible wounds and its traumas. The In Between World is also seen, in this issue of the review, as a space of pacification, where poetry is challenged by other voices, both provocative and constraining. Healing sometimes demands a weapon – fire, a scalpel, a revolution. To heal through pain or through comfort ? It is a question that is at the crossroads of political, medical, metaphysical and artistic discourses. Either cut or sowed, either consumed poison or medicine; healing, in its most extreme carries a form of sabotage whose very weapon is its principal virtue. The universe of the In Between World is the last free field of experimentation, of true riches, for its the only space that remains unpolluted, uncolonized. It is difficult to access, and one can only enter through initiation. Appealing eternally to our traditions, in order to reposition them at the center of our thought and discourse, long banished to the intellectual periphery, discredited, yet capable of providing care for the sick bodies of modern cultural institutions, today. Confronting societies’ crises – its populisms, extremism, ever rising racism… The nurturing practices of the minority have long been rejected but now may play a key role in repairing fractured contemporary societies. This voyage into the In Between World is achieved through various artistic disciples, and the Afrikadaa review invites artists, researchers, curators, scholars, philosophers, writers, historians, musicians and activists to participate in interrogating our common being, activating other potentialities and redefining the possible. Thus allowing art to reveal itself a tool for healing and for emancipation.",2019,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-12/
AABF,AFRIKADAA 9 – Anthropologisms,"Today, many contemporary artists from the Southern worlds work with the (re) appropriation of anthropological patterns. They do so by subverting the clichés to divert them from their primitive destinations, using mimicry as a critique of the approach devised by those scientists from another time, or by using anthropological processes as material in their work. In many ways, the reference to anthropology is today, a recurring practice. Are this anthropologism and the stakes at play here, signing the death of anthropology ? A revival ? What use can be made of photographic archives ? Is anthropologism the mark of decolonization ? How do artists and scientists distinguish themselves from a system of knowledge deeply inscribed with a colonial and racial ideology ? What do they make of this heritage? How in the recycling of images from the past, does art assumes a role in social commentary? These questions highlight that the art / anthropology connection is a source of critical interrogations Simultaneously to these developments, anthropologists in general – and the so-called Africanists in particular – have taken hold of contemporary African art. Is this a logical continuation, from the primitive arts on which anthropology focused its attention on during the twentieth century ? Is this phenomenon limited to France ? What are its implications ? More broadly, what is the meaning of shows like The invention of the Savage or Exhibit B ? Can we separate these actions from the revival of old clichés? The anthropologisms seem characteristic of the early twenty-!rst century, and this is true whether we look at the encounters generated from art to anthropology (most notably, with artistic approaches also making claims to be theoretical research), or from anthropology to art. Which hybridizations do these encounters give place to ?",2015,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-9-digital/
AABF,AFRIKADAA 8 – Moving Image,"Drawing from perspectives of cultural heterogeneity and multiple temporalities, this issue of Afrikadaa focuses upon the moving image and its modes of narrative. Once found in movie theaters, and then in art galleries, today the moving image has become an integral part of our everyday experiences. The proliferation and broadening of its domain forces us to decompartamentalize discipines and their methodologies, so that we can rethink its narrative appartuses and imagistic regimes, and the ways in which this a ects how we see these images.  Starting with the idea of the moving image, Afrikadaa will foreground the convergence, and the processes of hybridization between, cinema, contemporary art and the media, all from the perspective of innovative narration. Or, to be more precise, we will consider artists who articulate new writings, or new cinematic language, and who then interrogate the spaces that result. Artists who multiply discursive and narrative forms, and who take possession of possibilities of transmission in order to conceive of, in formats and circuits distant from commercial cinema, other criteria of visibility. The scene-object is it obsolete? Is it dead for these avant-garde filmmakers? The storyline as it is presently known has no place in the cinema of the 21st century. We aim to interrogate the Archive as film-object together with the films and videos of contemporary artists and filmmakers who work in the context of colonial and post-colonial cultures and the currents that cross therein.  At a time when democratic expression has taken a new place of importance — even as it is threatened — artists de ne their scale of visibility, circulating words that move against the grain of a globalized, consensual culture and offer an identitary revindication situated in a geopolitical time and place. In this issue we include lms that give space to individual and collective speech, which assemble consensus and divergence in order to create di erent ways of thinking. But we do not shy away from interrogating these new practices and uses of the image via alternative lmic apparatuses. Like a laboratory in which diverse screens cohabitate, this experience pushes textual/imagistic narration to its limit, approaching the idea that cinema is reinventing reality. To make cinema is to materialize the real. In this issue we include the work of artists who reinvent and interrogate new forms of narration. There is cinema to discover. Cinema shows us the invisible. It incarnates the past, present and future.",2015,,,Africa,Global South,https://africanartbookfair.com/produit/afrikadaa-8-digital/
